,date_time,incident_number,location,nature,incident_ori
99,8/1/2024 8:23,2024-00055483,1659 BEAUMONT DR,Traffic Stop,OK0140200
100,8/1/2024 8:29,2024-00055484,RC LUTTRELL DR / HEALTHPLEX PKWY,Traffic Stop,OK0140200
101,8/1/2024 8:30,2024-00055485,3500 36TH AVE NW,Traffic Stop,OK0140200
102,8/1/2024 8:33,2024-00055486,1002 24TH AVE SW,Welfare Check,OK0140200
103,8/1/2024 8:37,2024-00055487,2100 36TH AVE NW,Traffic Stop,OK0140200
104,8/1/2024 8:38,2024-00055488,1000 168TH AVE NE,Traffic Stop,OK0140200
105,8/1/2024 8:38,2024-00011426,1301 OLMSTEAD CT,Breathing Problems,14005
106,8/1/2024 8:38,2024-00015393,1301 OLMSTEAD CT,Breathing Problems,EMSSTAT
107,8/1/2024 8:41,2024-00055489,194 E STATE HWY 9 HWY,Traffic Stop,OK0140200
108,8/1/2024 8:42,2024-00055490,513 MIDLAND DR,Follow Up,OK0140200
109,8/1/2024 8:49,2024-00055492,1911 TWISTED OAK DR,Vandalism,OK0140200
110,8/1/2024 8:50,2024-00055491,36TH AVE NW / BUCKINGHAM DR,Traffic Stop,OK0140200
111,8/1/2024 8:50,2024-00055495,4016 MAYFAIR DR,Alarm,OK0140200
112,8/1/2024 8:51,2024-00055493,36TH AVE NW / HEALTHPLEX PKWY,Traffic Stop,OK0140200
113,8/1/2024 8:54,2024-00055494,17661 E STATE HWY 9 HWY,Traffic Stop,OK0140200
114,8/1/2024 8:58,2024-00055496,24TH AVE NW / W MAIN ST,Traffic Stop,OK0140200
115,8/1/2024 8:59,2024-00055497,1100 24TH AVE NE,Traffic Stop,OK0140200
116,8/1/2024 9:00,2024-00055498,2901 OAK TREE AVE,Item Assignment,OK0140200
117,8/1/2024 9:00,2024-00055517,3205 COTSWOLD SQ,Animal Injured,OK0140200
118,8/1/2024 9:00,2024-00055572,1029 CONNELLY LN,Animal Dead,OK0140200
119,8/1/2024 9:01,2024-00011427,1310 1/2 GEORGE AVE,Stroke,14005
120,8/1/2024 9:01,2024-00015394,1310 1/2 GEORGE AVE,Stroke,EMSSTAT
121,8/1/2024 9:07,2024-00055499,3044 36TH AVE NW,Traffic Stop,OK0140200
122,8/1/2024 9:09,2024-00055500,3416 36TH AVE NW,Traffic Stop,OK0140200
123,8/1/2024 9:18,2024-00055501,407 E DUFFY ST,Larceny,OK0140200
124,8/1/2024 9:21,2024-00055502,1261 HONEYBEE CT,Fraud,OK0140200
125,8/1/2024 9:22,2024-00055504,201 REED AVE,Check Area,OK0140200
126,8/1/2024 9:26,2024-00055503,1104 WHISPERING PINES DR,Alarm,OK0140200
127,8/1/2024 9:33,2024-00055505,112 W DAWS ST,Pick Up Partner,OK0140200
128,8/1/2024 9:40,2024-00011428,2818 CLASSEN BLVD,Diabetic Problems,14005
129,8/1/2024 9:40,2024-00015395,2818 CLASSEN BLVD,Diabetic Problems,EMSSTAT
130,8/1/2024 9:47,2024-00055529,2630 12TH AVE NW,Supplement Report,OK0140200
131,8/1/2024 9:52,2024-00055506,3629 TECUMSEH DR,Traffic Stop,OK0140200
132,8/1/2024 9:54,2024-00055513,3705 ANDREW CT,Supplement Report,OK0140200
133,8/1/2024 9:56,2024-00055507,2505 W TECUMSEH RD,Traffic Stop,OK0140200
134,8/1/2024 9:57,2024-00055509,3500 HEALTHPLEX PKWY,911 Call Nature Unknown,OK0140200
135,8/1/2024 9:57,2024-00055508,1309 W LINDSEY ST,Traffic Stop,OK0140200
136,8/1/2024 9:59,2024-00055510,1683 BEAUMONT DR,Traffic Stop,OK0140200
137,8/1/2024 10:02,2024-00055511,801 E ROBINSON ST,Traffic Stop,OK0140200
138,8/1/2024 10:05,2024-00055512,1300 N I35 SB I,Motorist Assist,OK0140200
139,8/1/2024 10:09,2024-00055514,N FLOOD AVE / W ACRES ST,Traffic Stop,OK0140200
140,8/1/2024 10:12,2024-00055518,930 24TH AVE SW,Welfare Check,OK0140200
141,8/1/2024 10:12,2024-00055515,1772 W TECUMSEH RD,Traffic Stop,OK0140200
142,8/1/2024 10:13,2024-00011429,1321 REGENT ST,Falls,14005
143,8/1/2024 10:13,2024-00015396,1321 REGENT ST,Falls,EMSSTAT
144,8/1/2024 10:17,2024-00055519,3300 HEALTHPLEX PKWY,Escort/Transport,OK0140200
145,8/1/2024 10:18,2024-00055516,1824 W TECUMSEH RD,Traffic Stop,OK0140200
146,8/1/2024 10:19,2024-00055520,WYLIE RD / W BOYD ST,Welfare Check,OK0140200
147,8/1/2024 10:22,2024-00055521,1115 BILOXI DR,Animal at Large,OK0140200
148,8/1/2024 10:41,2024-00055528,105 E DAWS ST,Animal at Large,OK0140200
149,8/1/2024 10:42,2024-00055522,817 BRANCHWOOD CT,Parking Problem,OK0140200
150,8/1/2024 10:48,2024-00055523,3428 JENKINS AVE,Animal Complaint,OK0140200
151,8/1/2024 10:49,2024-00015402,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
152,8/1/2024 10:58,2024-00055524,600 N FLOOD AVE,Traffic Stop,OK0140200
153,8/1/2024 10:59,2024-00055525,1209 MELISA DR,Parking Problem,OK0140200
154,8/1/2024 11:11,2024-00011430,4501 W MAIN ST,Falls,14005
155,8/1/2024 11:11,2024-00015397,4501 W MAIN ST,Falls,EMSSTAT
156,8/1/2024 11:12,2024-00055527,2301 NEWMAN ST,Contact a Subject,OK0140200
157,8/1/2024 11:16,2024-00011431,900 N PORTER AVE,Abdominal Pains/Problems,14005
158,8/1/2024 11:16,2024-00015398,900 N PORTER AVE,Abdominal Pains/Problems,EMSSTAT
159,8/1/2024 11:17,2024-00055530,1878 W TECUMSEH RD,Traffic Stop,OK0140200
160,8/1/2024 11:22,2024-00055531,2300 W MAIN ST,Indecent Exposure,OK0140200
161,8/1/2024 11:25,2024-00055532,825 S PONCA AVE,Animal Trapped,OK0140200
162,8/1/2024 11:30,2024-00011432,430 N BERRY RD,Convulsion/Seizure,14005
163,8/1/2024 11:30,2024-00015399,430 N BERRY RD,Convulsion/Seizure,EMSSTAT
164,8/1/2024 11:33,2024-00015407,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
165,8/1/2024 11:34,2024-00015419,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
166,8/1/2024 11:44,2024-00055533,605 W BROOKS ST,Alarm,OK0140200
167,8/1/2024 11:46,2024-00055585,5545 12TH AVE NW,Animal Dead,OK0140200
168,8/1/2024 11:48,2024-00055534,3726 W TECUMSEH RD,Traffic Stop,OK0140200
169,8/1/2024 11:50,2024-00055535,930 24TH AVE SW,Suspicious,OK0140200
170,8/1/2024 11:53,2024-00055537,2070 24TH AVE NW,Hit and Run,OK0140200
171,8/1/2024 11:55,2024-00055536,615 12TH AVE NE,Trespassing,OK0140200
172,8/1/2024 12:07,2024-00055546,2301 36TH AVE NW,Supplement Report,OK0140200
173,8/1/2024 12:13,2024-00055538,2630 12TH AVE NW,Stolen Vehicle,OK0140200
174,8/1/2024 12:15,2024-00015400,4501 W MAIN ST,Sick Person,EMSSTAT
175,8/1/2024 12:18,2024-00015401,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
176,8/1/2024 12:44,2024-00015403,4501 W MAIN ST,Sick Person,EMSSTAT
177,8/1/2024 12:47,2024-00015405,700 S TELEPHONE RD,Transfer/Interfacility,EMSSTAT
178,8/1/2024 12:47,2024-00015404,4501 W MAIN ST,Falls,EMSSTAT
179,8/1/2024 12:49,2024-00055540,3499 W MAIN ST,Disturbance/Domestic,OK0140200
180,8/1/2024 12:49,2024-00055539,614 JENKINS AVE,Motorist Assist,OK0140200
181,8/1/2024 12:52,2024-00055541,715 W BROOKS ST,Parking Problem,OK0140200
182,8/1/2024 12:53,2024-00015408,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
183,8/1/2024 12:58,2024-00055543,N FLOOD AVE / VENTURE DR,Welfare Check,OK0140200
184,8/1/2024 12:58,2024-00055542,1251 ALAMEDA ST,Follow Up,OK0140200
185,8/1/2024 13:00,2024-00055544,700 24TH AVE NW,Welfare Check,OK0140200
186,8/1/2024 13:05,2024-00055545,"TOP TIER TACTICAL, DEL CITY",Item Assignment,OK0140200
187,8/1/2024 13:08,2024-00011433,1100 N INTERSTATE DR,Fire Alarm,14005
188,8/1/2024 13:09,2024-00055566,2200 CLASSEN BLVD,Supplement Report,OK0140200
189,8/1/2024 13:10,2024-00055547,559 W MAIN ST,Disturbance/Domestic,OK0140200
190,8/1/2024 13:10,2024-00055548,2555 HEMPHILL DR,Stolen Vehicle,OK0140200
191,8/1/2024 13:21,2024-00055549,CLASSEN BLVD / E CONSTITUTION ST,MVA Non Injury,OK0140200
192,8/1/2024 13:23,2024-00011434,401 156TH AVE NE,Sick Person,14005
193,8/1/2024 13:23,2024-00015406,401 156TH AVE NE,Sick Person,EMSSTAT
194,8/1/2024 13:29,2024-00015411,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
195,8/1/2024 13:31,2024-00055551,35.2098315742751;-97.4191452383731,Follow Up,OK0140200
196,8/1/2024 13:33,2024-00011435,4801 E FRANKLIN RD,Fire Alarm,14005
197,8/1/2024 13:34,2024-00055552,1615 IOWA ST,Item Assignment,OK0140200
198,8/1/2024 13:35,2024-00055553,6472 ALAMEDA ST,Traffic Stop,OK0140200
199,8/1/2024 13:35,2024-00055554,1330 E LINDSEY ST,Contact a Subject,OK0140200
200,8/1/2024 13:37,2024-00055555,3558 N FLOOD AVE,Traffic Stop,OK0140200
201,8/1/2024 13:46,2024-00055556,421 E ACRES ST,Alarm,OK0140200
202,8/1/2024 13:48,2024-00011436,3369 W MAIN ST,Falls,14005
203,8/1/2024 13:48,2024-00015409,3369 W MAIN ST,Falls,EMSSTAT
204,8/1/2024 13:50,2024-00055557,599 24TH AVE NE,Traffic Stop,OK0140200
205,8/1/2024 13:51,2024-00055558,3942 JENKINS AVE,Fraud,OK0140200
206,8/1/2024 13:54,2024-90000316,3550 W Robinson,Fraud,OK0140200
207,8/1/2024 13:58,2024-00055559,1800 BEAUMONT DR,Contact a Subject,OK0140200
208,8/1/2024 13:59,2024-00055560,200 VICKSBURG AVE,Disturbance/Domestic,OK0140200
209,8/1/2024 14:00,2024-00055571,201 W GRAY ST,Follow Up,OK0140200
210,8/1/2024 14:01,2024-00055561,2370 ASHWOOD LN,Traffic Stop,OK0140200
211,8/1/2024 14:03,2024-00055562,1015 INTERSTATE DR,Larceny,OK0140200
212,8/1/2024 14:05,2024-00055563,800 LEXINGTON ST,Animal Complaint,OK0140200
213,8/1/2024 14:20,2024-00055564,587 24TH AVE NE,Traffic Stop,OK0140200
214,8/1/2024 14:21,2024-00055565,7000 E FRANKLIN RD,Traffic Stop,OK0140200
215,8/1/2024 14:22,2024-00055567,9821 LITTLE RIVER DR,Disturbance/Domestic,OK0140200
216,8/1/2024 14:22,2024-00011437,9821 LITTLE RIVER DR,Convulsion/Seizure,14005
217,8/1/2024 14:22,2024-00015410,9821 LITTLE RIVER DR,Convulsion/Seizure,EMSSTAT
218,8/1/2024 14:26,2024-00055568,36TH AVE NW / HEALTHPLEX PKWY,Traffic Stop,OK0140200
219,8/1/2024 14:26,2024-00055569,5010 POINT FOWLER AVE,Runaway or Lost Child,OK0140200
220,8/1/2024 14:28,2024-00015415,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
221,8/1/2024 14:28,2024-00055570,100 12TH AVE NE,Fraud,OK0140200
222,8/1/2024 14:33,2024-00055573,3901 CASTLEROCK RD,Animal Injured,OK0140200
223,8/1/2024 14:40,2024-00011438,301 E DALE ST,Falls,14005
224,8/1/2024 14:40,2024-00015412,301 E DALE ST,Falls,EMSSTAT
225,8/1/2024 14:45,2024-00055574,333 12TH AVE SE,Trespassing,OK0140200
226,8/1/2024 14:46,2024-00055586,1119 MOCKINGBIRD LN,Animal Dead,OK0140200
227,8/1/2024 14:47,2024-00011439,501 E ROBINSON ST,Falls,14005
228,8/1/2024 14:47,2024-00015413,501 E ROBINSON ST,Falls,EMSSTAT
229,8/1/2024 14:55,2024-00011440,1124 W EUFAULA ST,Sick Person,14005
230,8/1/2024 14:55,2024-00015414,1124 W EUFAULA ST,Sick Person,EMSSTAT
231,8/1/2024 14:56,2024-00011441,3909 24TH AVE NW,Breathing Problems,14005
232,8/1/2024 14:56,2024-00015416,3909 24TH AVE NW,Breathing Problems,EMSSTAT
233,8/1/2024 14:57,2024-00055575,W TECUMSEH RD / MEDICAL PARK DR,Traffic Stop,OK0140200
234,8/1/2024 15:02,2024-00055576,ALAMEDA ST / 12TH AVE NE,Contact a Subject,OK0140200
235,8/1/2024 15:03,2024-00011442,4104 TROON ST,Falls,14005
236,8/1/2024 15:03,2024-00015417,4104 TROON ST,Falls,EMSSTAT
237,8/1/2024 15:08,2024-00011443,2803 24TH AVE NW,Public Assist,14005
238,8/1/2024 15:09,2024-00055590,14400 E FRANKLIN RD,Animal Trapped,OK0140200
239,8/1/2024 15:10,2024-00011444,9821 LITTLE RIVER DR,Convulsion/Seizure,14005
240,8/1/2024 15:10,2024-00015418,9821 LITTLE RIVER DR,Convulsion/Seizure,EMSSTAT
241,8/1/2024 15:17,2024-00055577,24TH AVE NE / JACKSON DR,Traffic Stop,OK0140200
242,8/1/2024 15:18,2024-00055578,W LINDSEY ST / S BERRY RD,Hit and Run,OK0140200
243,8/1/2024 15:28,2024-00055581,1209 W LINDSEY ST,Hit and Run,OK0140200
244,8/1/2024 15:28,2024-00055580,HALRAY DR / BARKLEY ST,Traffic Stop,OK0140200
245,8/1/2024 15:29,2024-00015432,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
246,8/1/2024 15:29,2024-00055582,24TH AVE NE / JACKSON DR,Traffic Stop,OK0140200
247,8/1/2024 15:35,2024-00055583,333 12TH AVE SE,Traffic Stop,OK0140200
248,8/1/2024 15:36,2024-00055584,4403 12TH AVE SE,Disturbance/Domestic,OK0140200
249,8/1/2024 15:46,2024-00055587,333 12TH AVE SE,Trespassing,OK0140200
250,8/1/2024 15:46,2024-00015428,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
251,8/1/2024 15:53,2024-00055588,800 LEXINGTON ST,Contact a Subject,OK0140200
252,8/1/2024 15:55,2024-00015420,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
253,8/1/2024 16:06,2024-00015421,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
254,8/1/2024 16:12,2024-00055591,2206 HAVERFORD CT,Harassment / Threats Report,OK0140200
255,8/1/2024 16:12,2024-00055592,1900 RENAISSANCE DR,911 Call Nature Unknown,OK0140200
256,8/1/2024 16:13,2024-00055589,26TH AVE SW / W MAIN ST,MVA Non Injury,OK0140200
257,8/1/2024 16:18,2024-00055593,DRAKE DR / CLASSEN BLVD,Traffic Stop,OK0140200
258,8/1/2024 16:19,2024-00011445,1603 PINEWOOD DR,Abdominal Pains/Problems,14005
259,8/1/2024 16:19,2024-00015422,1603 PINEWOOD DR,Abdominal Pains/Problems,EMSSTAT
260,8/1/2024 16:19,2024-00055603,1502 E LINDSEY ST,Animal Complaint,OK0140200
261,8/1/2024 16:22,2024-00055595,3020 TWIN ACRES DR,Welfare Check,OK0140200
262,8/1/2024 16:26,2024-00015423,1401 SW 34TH ST,Transfer/Interfacility,EMSSTAT
263,8/1/2024 16:26,2024-00055594,290 S PETERS AVE,Traffic Stop,OK0140200
264,8/1/2024 16:27,2024-00055598,E STATE HWY 9 HWY / 24TH AVE SE,Welfare Check,OK0140200
265,8/1/2024 16:28,2024-00055596,1311 DA VINCI ST,Pick Up Partner,OK0140200
266,8/1/2024 16:31,2024-00055597,1311 DA VINCI ST,Pick Up Partner,OK0140200
267,8/1/2024 16:31,2024-00055600,3300 HEALTHPLEX PKWY,Escort/Transport,OK0140200
268,8/1/2024 16:36,2024-00055599,406 MACY ST,Fraud,OK0140200
269,8/1/2024 16:37,2024-00055604,112 W DAWS ST,Contact a Subject,OK0140200
270,8/1/2024 16:45,2024-00055601,4201 28TH AVE NW,Runaway or Lost Child,OK0140200
271,8/1/2024 16:45,2024-00011446,610 OLIVER ST,Overdose/Poisoning,14005
272,8/1/2024 16:45,2024-00015424,610 OLIVER ST,Overdose/Poisoning,EMSSTAT
273,8/1/2024 16:45,2024-00055602,610 OLIVER ST,Welfare Check,OK0140200
274,8/1/2024 16:51,2024-00015426,3300 HEALTHPLEX PKWY,Transfer/Interfacility,EMSSTAT
275,8/1/2024 16:52,2024-00011447,602 WELSTON CIR,Public Assist,14005
276,8/1/2024 16:56,2024-90000317,1444 24th Ave NW STREET,Larceny,OK0140200
277,8/1/2024 16:58,2024-00015427,2000 ANN BRANDEN BLVD,Transfer/Interfacility,EMSSTAT
278,8/1/2024 17:02,2024-00055605,201 WOODCREST DR,Larceny,OK0140200
279,8/1/2024 17:03,2024-00055610,406 MACY ST,Fraud,OK0140200
280,8/1/2024 17:04,2024-00011448,18700 E INDIAN HILLS RD,Convulsion/Seizure,14005
281,8/1/2024 17:04,2024-00015425,18700 E INDIAN HILLS RD,Convulsion/Seizure,EMSSTAT
282,8/1/2024 17:06,2024-00055606,250 E STATE HWY 9 HWY,Traffic Stop,OK0140200
283,8/1/2024 17:13,2024-00055611,411 E FRANK ST,Hit and Run,OK0140200
284,8/1/2024 17:18,2024-00055619,3300 HEALTHPLEX PKWY,Escort/Transport,OK0140200
285,8/1/2024 17:21,2024-00055607,JENKINS AVE / W STATE HWY 9 HWY,Traffic Stop,OK0140200
286,8/1/2024 17:25,2024-00055608,467 24TH AVE NE,Traffic Stop,OK0140200
287,8/1/2024 17:26,2024-00055609,W MAIN ST / 48TH AVE NW,Suspicious,OK0140200
288,8/1/2024 17:30,2024-00055612,1148 W STATE HWY 9 HWY,Traffic Stop,OK0140200
289,8/1/2024 17:31,2024-00055614,I35 SB OFF RAMP 108A RAMP / W STATE HWY 9,Mutual Aid,OK0140200
290,8/1/2024 17:34,2024-00055613,E ROBINSON ST / N PONCA AVE,Traffic Stop,OK0140200
291,8/1/2024 17:40,2024-00055625,4599 HERITAGE PLACE DR,Larceny,OK0140200
292,8/1/2024 17:42,2024-00015429,1544 OK-9,Stroke,EMSSTAT
